实施主体,职权编号,职权名称,职权种类
,,,
,,,
区气象局,C5600200,对危害气象探测环境的行为进行处罚,罚款
,,,
,,,
,,,
区气象局,C5600300,对安装不符合使用要求的雷电灾害防护装置的行为进行处罚,警告
,,,
区气象局,C5600400,对非法向社会发布公众气象预报、灾害性天气警报的行为进行处罚,"警告,罚款"
,,,
区气象局,C5600500,对广播、电视、报纸、电信等媒体向社会传播公众气象预报、灾害性天气警报，不使用气象主管机构所属的气象台站提供的适时气象信息的行为进行处罚,"警告,罚款"
,,,
区气象局,C5600600,对从事大气环境影响评价的单位进行工程建设项目大气环境影响评价时，使用的气象资料不是气象主管机构提供或者审查的行为进行处罚,"警告,罚款"
,,,
区气象局,C5600700,对不具备省、自治区、直辖市气象主管机构规定的资格条件实施人工影响天气作业的或者实施人工影响天气作业使用不符合国务院气象主管机构要求的技术标准的作业设备的行为进行处罚,"警告,罚款"
,,,
区气象局,C5600800,对违反人工影响天气作业规范或者操作规程的行为进行处罚,警告
,,,
区气象局,C5600900,对未按照批准的空域和作业时限实施人工影响天气作业的行为进行处罚,"警告,吊销许可证或营业执照"
,,,
区气象局,C5601000,对将人工影响天气作业设备转让给非人工影响天气作业单位或者个人的行为进行处罚,"警告,吊销许可证或营业执照"
,,,
区气象局,C5601100,对将人工影响天气作业设备用于与人工影响天气无关的活动的行为进行处罚,"警告,吊销许可证或营业执照"
,,,
区气象局,C5601200,对未经批准擅自升放无人驾驶自由气球或者系留气球的行为进行处罚,"警告,罚款"
,,,
区气象局,C5601300,对未按照批准的申请升放无人驾驶自由气球或者系留气球的行为进行处罚,"警告,罚款"
,,,
区气象局,C5601400,对升放无人驾驶自由气球或者系留气球未按照规定设置识别标志的行为进行处罚,"警告,罚款"
,,,
区气象局,C5601500,对未及时报告升放动态或者系留气球意外脱离时未按照规定及时报告的行为进行处罚,"警告,罚款"
,,,
区气象局,C5601600,对在规定的禁止区域内升放无人驾驶自由气球或者系留气球的行为进行处罚,"警告,罚款"
,,,
区气象局,C5601700,对无资质从事防雷装置检测的行为进行处罚,"没收违法所得,罚款"
,,,
,,,
区气象局,C5601800,对超越资质许可范围从事防雷装置检测的行为进行处罚,"没收违法所得,罚款"
,,,
,,,
,,,
区气象局,C5601900,对在雷电防护装置设计、施工、检测中弄虚作假的行为进行处罚,"警告,罚款"
,,,
区气象局,C5602000,对擅自向社会发布气象灾害预警信号的行为进行处罚,"警告,罚款"
,,,
区气象局,C5602100,对广播、电视、报纸、电信等媒体未按照要求播发、刊登灾害性天气警报和气象灾害预警信号的行为进行处罚,"警告,罚款"
,,,
区气象局,C5602200,对在气象设施周边进行危及气象设施安全的爆破、钻探、采石、挖砂、取土活动的行为，逾期拒不恢复原状或者采取其他补救措施的，进行处罚,罚款
,,,
区气象局,C5602300,对挤占、干扰依法设立的气象无线电台（站）、频率的行为，逾期拒不恢复原状或者采取其他补救措施的，进行处罚,罚款
,,,
区气象局,C5602400,对设置影响大型气象专用技术装备使用功能的干扰源的行为，逾期拒不恢复原状或者采取其他补救措施的，进行处罚,罚款
,,,
区气象局,C5602500,对法律、行政法规和国务院主管机构规定的其他危害气象设施的行为，逾期拒不恢复原状或者采取其他补救措施的，进行处罚,罚款
,,,
区气象局,C5602600,对无偿转让从各级气象主管机构获得的气象资料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5602700,对所获得气象资料直接向外分发或用作供外部使用的数据库、产品和服务的一部分，或间接用作生成它们的基础的行为进行处罚,"警告,罚款"
,,,
区气象局,C5602800,对将存放所获得气象资料的局域网与广域网、互联网相连接的行为进行处罚,"警告,罚款"
,,,
区气象局,C5602900,对用户将所获得气象资料进行单位换算、介质转换或者量度变换后形成的新资料，或者对所获得气象资料进行实质性加工后形成的新资料向外分发的行为进行处罚,"警告,罚款"
,,,
区气象局,C5603000,对不按要求使用从国内外交换来的气象资料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5603100,对有偿转让从各级气象主管机构获得的气象资料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5603200,对通过网络无偿下载的或按公益使用免费获取的气象资料，用于经营性活动的行为进行处罚,"警告,罚款"
,,,
区气象局,C5603500,对未取得施放气球资质证从事施放气球活动的行为进行处罚,罚款
,,,
区气象局,C5603700,对违反施放气球技术规范和标准的行为进行处罚,"警告,罚款"
,,,
,,,
,,,
,,,
,,,
区气象局,C5603800,对施放现场未指定专人值守的行为进行处罚,"警告,罚款"
,,,
区气象局,C5603900,对施放系留气球未加装快速放气装置的行为进行处罚,"警告,罚款"
,,,
区气象局,C5604000,对使用无《施放气球资质证》的单位施放气球的行为进行处罚,"警告,罚款"
,,,
区气象局,C5604100,对安全事故发生后隐瞒不报、谎报、故意延迟不报、故意破坏现场或者拒绝接受调查以及拒绝提供有关情况和资料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5604200,对违反施放气球安全要求的其他行为进行处罚,"警告,罚款"
,,,
区气象局,C5604300,对未经许可，擅自设立涉外气象探测站（点）的行为进行处罚,"警告,罚款"
,,,
区气象局,C5604400,对超出批准布点数探测的行为进行处罚,"警告,罚款"
,,,
区气象局,C5604500,对我国正在进行的气象探测工作造成影响的行为进行处罚,"警告,罚款"
,,,
区气象局,C5604600,对未经批准变更探测地点、项目、时段的行为进行处罚,"警告,罚款"
,,,
,,,
区气象局,C5604700,对超过探测期限进行探测的行为进行处罚,"警告,罚款"
,,,
区气象局,C5604800,对自带或者使用的气象探测仪器设备未经国务院气象主管机构或者省、自治区、直辖市气象主管机构组织检查的行为进行处罚,"警告,罚款"
,,,
区气象局,C5604900,对向未经批准的境外组织、机构和个人提供气象探测场所和气象资料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5605000,对境外组织、机构和个人实施或者指使、资助他人以非法手段收集、窃取气象资料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5605100,对未按照规定向有关气象主管机构汇交气象探测原始资料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5605200,对转让或者提供气象探测资料及其加工产品给第三方的行为进行处罚,"警告,罚款"
,,,
区气象局,C5606100,对不具备气候可行性论证能力的机构从事气候可行性论证活动的行为进行处罚,"警告,罚款"
,,,
区气象局,C5606200,对使用气象资料，不是气象主管机构直接提供或者未经省、自治区、直辖市气象主管机构审查的行为进行处罚,"警告,罚款"
,,,
区气象局,C5606300,对在气象可行性论证活动中，伪造气象资料或者其他原始资料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5606400,对在气象可行性论证活动中，出具虚假论证报告的行为进行处罚,"警告,罚款"
,,,
区气象局,C5606500,对在气象可行性论证活动中，涂改、伪造气象可行性论证报告书面评审意见的行为进行处罚,"警告,罚款"
,,,
区气象局,C5606600,对应当进行气候可行性论证的建设项目，未经气候可行性论证的行为进行处罚,"警告,罚款"
,,,
区气象局,C5606700,对委托不具备可行性论证能力的机构进行气候可行性论证的行为进行处罚,"警告,罚款"
,,,
区气象局,C5606900,对涂改、伪造防雷装置设计审核和竣工验收有关材料或者文件的行为进行处罚,"警告,罚款"
,,,
区气象局,C5607000,对防雷装置设计或者施工单位向监督检查机构隐瞒有关情况、提供虚假材料或者拒绝提供反映其活动情况的真实材料的行为进 行处罚,"警告,罚款"
,,,
区气象局,C5607100,对防雷装置设计未经有关气象主管机构核准，擅自施工的行为进行处罚,"警告,罚款"
,,,
区气象局,C5607200,对防雷装置竣工未经有关气象主管机构验收合格，擅自投入使用的行为进行处罚,"警告,罚款"
,,,
区气象局,C5607300,对伪造、涂改、出租、出借、挂靠、转让防雷装置检测资质证的行为进行处罚,警告
,,,
区气象局,C5607700,对应当安装防雷装置而拒不安装的行为进行处罚,"警告,罚款"
,,,
区气象局,C5607800,对已有防雷装置，拒绝进行检测的行为进行处罚,"警告,罚款"
,,,
区气象局,C5607900,对已有防雷装置，经检测不合格又拒不整改的行为进行处罚,"警告,罚款"
,,,
区气象局,C5608000,对重大雷电灾害事故隐瞒不报的行为进行处罚,"警告,罚款"
,,,
区气象局,C5608500,对未取得新建、扩建、改建建设工程避免危害气象探测环境行政许可的，或者取得许可后不按规定进行建设，造成气象探测环境遭到破坏的行为进行处罚,罚款
,,,
区气象局,C5608600,对传播虚假气象预报的行为进行处罚,"警告,罚款"
,,,
区气象局,C5608700,对气象信息服务单位逾期未进行备案的行为或者提供虚假备案材料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5608800,对于开展气象探测活动，未向设区的市级以上气象主管机构备案，或者未按照国家有关规定汇交所获得的气象探测资料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5609000,对擅自更改气象预报内容和结论，引起社会不良反应或造成一定影响的行为进行处罚,"警告,罚款"
,,,
区气象局,C5609100,对使用不符合使用要求的防雷装置或者产品的行为进行处罚,"警告,罚款"
,,,
区气象局,C5609200,对向社会传播气象预报不注明发布单位名称和发布时间的行为进行处罚,"警告,罚款"
,,,
区气象局,C5609300,对超过气象行政许可范围进行活动的行为进行处罚,"警告,罚款"
,,,
区气象局,C5609400,对与检测项目的设计、施工单位以及所使用的防雷产品生产、销售单位有隶属关系或者其他利害关系的行为进行处罚,警告
,,,
区气象局,C5609600,对向负责监督检查的气象主管机构隐瞒有关情况、提供虚假材料或者拒绝提供反映其活动情况的真实材料的行为进行处罚,"警告,罚款"
,,,
区气象局,C5609800,对所属气象台站未遵守国家制定的气象标准、规范、规程的行为进行处罚,警告
,,,
区气象局,C5609900,对逾期未向当地省、自治区、直辖市气象主管机构备案的行为进行处罚,警告
,,,
,,,
,,,
区气象局,C5610000,对转包或者违法分包防雷装置检测项目的行为进行处罚,警告
,,,
区气象局,C5610100,对防雷装置检测资质单位向监督检查机构隐瞒有关情况、提供虚假材料或者拒绝提供反映其活动情况的真实材料的行为进行处罚,警告
,,,
区气象局,C5610200,对申请人隐瞒有关情况或者提供虚假材料申请气象行政许可的行为进行处罚,警告
,,,
区气象局,C5610300,对使用不符合技术要求的气象专用技术装备，造成危害的行为进行处罚,"警告,罚款"
,,,
区气象局,C5610500,对涂改、伪造、倒卖、出租、出借气象行政许可证件，或者以其他形式非法转让气象行政许可的行为进行处罚,"警告,罚款"
,,,
,,,
区气象局,C5610600,对申请人以欺骗、贿赂等不正当手段取得气象行政许可的行为进行处罚,"警告,罚款"
,,,
,,,
,,,
,,,
区气象局,C5610700,对侵占、损毁、或者未经批准擅自移动气象设施的行为进行处罚,罚款
,,,
,,,
,,,
