单位名称,备案证明号,分支机构,从业人员(经纪人员),投诉,信用档案
北京佳玺众邦房地产经纪有限公司,京经纪(2023)第10717号,0,1,0,0
北京日昇昌房地产经纪有限公司,京经纪(2023)第10718号,0,1,0,0
北京爱尚我佳房地产经纪有限公司,京经纪(2023)第10719号,0,3,0,0
北京鼎诚嘉业房地产经纪有限公司,京经纪(2023)第10720号,0,2,0,0
北京花田融创房地产经纪有限公司,京经纪(2023)第10721号,0,2,0,0
北京圣鑫源房地产经纪有限公司,京经纪(2023)第10722号,0,2,0,0
北京信德祥瑞房地产经纪有限公司,京经纪(2023)第10723号,0,2,0,0
北京早安起点房地产经纪有限公司,京经纪(2023)第10724号,0,2,0,0
北京耀阳房地产经纪有限公司,京经纪(2023)第10725号,0,2,0,0
北京嘉选房地产经纪有限公司,京经纪(2023)第10726号,0,3,0,0
北京瑞麦远航房地产经纪有限公司,京经纪(2023)第10727号,0,2,0,0
北京金磐房地产经纪有限公司,京经纪(2023)第10728号,0,2,0,0
北京惠租房地产经纪有限公司,京经纪(2023)第10730号,0,2,0,0
北京万邦安家房地产经纪有限公司,京经纪(2023)第10729号,0,2,0,0
北京瑞麦融创房地产经纪有限公司,京经纪(2023)第10731号,0,2,0,0
北京盛茂房地产经纪有限公司,京经纪(2023)第10732号,0,2,0,0
北京花田家和房地产经纪有限公司,京经纪(2023)第10733号,0,2,0,0
北京华兴盛远房地产经纪有限公司,京经纪(2023)第10734号,0,2,0,0
北京康茂房地产经纪有限公司,京经纪(2023)第10735号,0,2,0,0
北京中汇信业房地产经纪有限公司,京经纪(2023)第10737号,0,1,0,0
北京通达广源房地产经纪有限公司,京经纪(2023)第10738号,0,0,0,0
北京恒居客房地产经纪有限公司,京经纪(2023)第10746号,0,0,0,0
北京鑫思禄商业管理有限公司,京经纪(2023)第10747号,0,0,0,0
北京云巢基业物业管理有限公司,京经纪(2023)第10748号,0,0,0,0
北京云居房地产经纪有限公司,京经纪(2023)第10749号,0,2,0,0
北京天邦房地产经纪有限公司,京经纪(2023)第10751号,0,1,0,0
北京同创万家房地产经纪有限公司,京经纪(2023)第10752号,0,1,0,0
北京米家房地产经纪有限公司,京经纪(2023)第10754号,0,1,0,0
北京皓顺房地产经纪有限责任公司,京经纪(2023)第10753号,0,1,0,0
北京明汇房地产经纪有限公司,京经纪(2023)第10756号,0,2,0,0
环宇鑫盛（北京）房地产经纪有限公司,京经纪(2023)第10757号,0,2,0,0
北京星支点房地产经纪有限公司,京经纪(2023)第10759号,0,2,0,0
北京泛美房地产经纪有限公司,京经纪(2023)第10760号,0,2,0,0
北京奥冬房地产经纪有限公司,京经纪(2023)第10762号,0,2,0,0
北京客家顺房地产经纪有限公司,京经纪(2023)第10761号,0,2,0,0
寓见星空（北京）房地产经纪有限公司,京经纪(2023)第10763号,0,2,0,0
北京中城中机房地产经纪有限公司,京经纪(2023)第10765号,0,1,0,0
北京兴弘盛房地产经纪有限公司,京经纪(2023)第10764号,0,3,0,0
北京吴超房地产经纪有限公司,京经纪(2023)第10766号,0,2,0,0
北京安庭大境房地产经纪有限公司,京经纪(2023)第10767号,0,2,0,0
北京华特耀嘉房地产经纪有限公司,京经纪(2023)第10769号,0,1,0,0
兴业亿家房地产经纪（北京）有限公司,京经纪(2023)第10770号,0,2,0,0
北京金固蓝天房地产经纪有限公司,京经纪(2023)第10771号,0,1,0,0
北京万腾地产经纪有限公司,京经纪(2023)第10772号,0,2,0,0
北京华城天下投资管理有限公司,京经纪(2023)第10773号,0,1,0,0
北京泓鼎房地产经纪有限公司,京经纪(2023)第10784号,0,2,0,0
圣诚（北京）房地产经纪有限公司,京经纪(2023)第10785号,0,2,0,0
北京泊客置地房地产经纪有限公司,京经纪(2023)第10786号,0,2,0,0
北京百华房地产经纪有限公司,京经纪(2023)第10788号,0,1,0,0
北京御槐物业管理有限公司,京经纪(2023)第10795号,0,2,0,0
北京京诚之家房地产经纪有限公司,京经纪(2023)第10796号,0,1,0,0
北京墅里居房地产经纪有限公司,京经纪(2023)第10797号,0,2,0,0
北京中和弘毅科技有限公司,京经纪(2023)第10798号,0,1,0,0
北京汇成房地产经纪有限公司,京经纪(2023)第10799号,0,4,0,0
北京反手猴房地产经纪有限公司,京经纪(2023)第10800号,0,2,0,0
北京嘉信汇通房地产经纪有限公司,京经纪(2023)第10801号,0,2,0,0
北京厚德仲行房地产经纪有限公司,京经纪(2023)第10802号,0,4,0,0
北京广成伟业房地产经纪有限公司,京经纪(2023)第10804号,0,2,0,0
北京久居置家房地产经纪有限公司,京经纪(2023)第10803号,0,2,0,0
京庭房地产经纪(北京)有限公司,京经纪(2023)第10805号,0,2,0,0
北京房云房地产经纪有限公司,京经纪(2023)第10806号,0,2,0,0
北京蜜蜂居房地产经纪有限公司,京经纪(2023)第10808号,0,2,0,0
北京百顺房地产经纪有限公司,京经纪(2023)第10807号,0,2,0,0
北京景浩房地产经纪有限公司,京经纪(2023)第10809号,0,2,0,0
北京金币房地产经纪有限公司,京经纪(2023)第10811号,0,2,0,0
北京盛创佳和房地产经纪有限公司,京经纪(2023)第10810号,0,2,0,0
北京拓安房地产经纪有限公司,京经纪(2023)第10812号,0,2,0,0
北京博行远航房地产经纪有限公司,京经纪(2023)第10820号,0,2,0,0
北京鸿家科技有限公司,京经纪(2023)第10823号,0,1,0,0
北京严选苏荷房地产经纪有限公司,京经纪(2023)第10822号,0,1,0,0
北京筑家美好房地产经纪有限公司,京经纪(2023)第10824号,0,1,0,0
北京乐寓数字科技有限公司,京经纪(2023)第10832号,0,0,0,0
北京诚正房地产经纪有限公司,京经纪(2023)第10834号,0,2,0,0
北京九疆房地产经纪有限公司,京经纪(2023)第10833号,0,2,0,0
北京昌合达远房地产经纪有限公司,京经纪(2023)第10836号,0,2,0,0
北京家和瑞家房地产经纪有限公司,京经纪(2023)第10835号,0,2,0,0
东乐（北京）房地产经纪有限公司,京经纪(2023)第10837号,0,2,0,0
北京融居房地产经纪有限公司,京经纪(2023)第10839号,0,2,0,0
北京悦雅居房地产经纪有限公司,京经纪(2023)第10838号,0,2,0,0
北京联众行房地产经纪有限公司,京经纪(2023)第10840号,0,2,0,0
北京水墨逸居房地产经纪有限公司,京经纪(2023)第10842号,0,2,0,0
北京小象房地产经纪有限公司,京经纪(2023)第10841号,0,2,0,0
北京金地置家房地产经纪有限公司,京经纪(2023)第10847号,0,2,0,0
北京中宜房地产经纪有限公司,京经纪(2023)第10849号,0,2,0,0
北京七克拉房地产经纪有限公司,京经纪(2023)第10851号,0,2,0,0
北京店之家计算机系统服务有限公司,京经纪(2023)第10852号,0,1,0,0
北京华远众大房地产经纪有限公司,京经纪(2023)第10853号,0,1,0,0
北京天永缘房地产经纪有限责任公司,京经纪(2023)第10859号,0,2,0,0
北京千万家融创房地产经纪有限公司,京经纪(2023)第10863号,0,0,0,0
北京理想生活房地产经纪有限公司,京经纪(2023)第10864号,0,0,0,0
北京立嘉房地产经纪有限公司,京经纪(2023)第10866号,0,0,0,0
北京千屹物业管理有限公司,京经纪(2023)第10867号,0,2,0,0
北京丽姿房地产经纪有限公司,京经纪(2023)第10870号,0,2,0,0
北京家合佳美房地产经纪有限公司,京经纪(2023)第10872号,0,2,0,0
北京顺安居房地产经纪有限公司,京经纪(2023)第10877号,0,2,0,0
北京青豆房地产经纪有限公司,京经纪(2023)第10878号,0,2,0,0
北京鑫世纪房地产经纪有限公司,京经纪(2023)第10879号,0,2,0,0
北京优家顺成房地产经纪有限公司,京经纪(2023)第10880号,0,1,0,0
北京鸿福悦房地产经纪有限公司,京经纪(2023)第10887号,0,1,0,0
北京永润安居房地产经纪有限公司,京经纪(2023)第10888号,0,1,0,0
北京众信良峰房地产经纪有限公司,京经纪(2023)第10889号,0,1,0,0
北京英赫世纪置业有限公司,京经纪(2023)第10903号,0,0,0,0
心动源（北京）科技有限公司,京经纪(2023)第10904号,0,2,0,0
北京森杨家园房地产经纪有限公司,京经纪(2023)第10905号,0,2,0,0
北京爱通房地产经纪有限公司,京经纪(2023)第10906号,0,2,0,0
北京九鼎言房地产经纪有限公司,京经纪(2023)第10908号,0,2,0,0
北京承家房地产经纪有限公司,京经纪(2023)第10907号,0,2,0,0
北京城之家房地产经纪有限公司,京经纪(2023)第10909号,0,2,0,0
北京天时信达房地产经纪有限公司,京经纪(2023)第10910号,0,2,0,0
北京家和居房地产经纪有限公司,京经纪(2023)第10911号,0,2,0,0
瑞家安居（北京）房地产经纪有限公司,京经纪(2023)第10913号,0,2,0,0
北京安家尚品房地产经纪有限公司,京经纪(2023)第10912号,0,2,0,0
北京云朵之上房地产经纪有限公司,京经纪(2023)第10914号,0,2,0,0
房创客（北京）房地产经纪有限公司,京经纪(2023)第10915号,0,0,0,0
北京久盛房地产经纪有限公司,京经纪(2023)第10917号,0,2,0,0
北京奇硕房地产经纪有限公司,京经纪(2023)第10916号,0,1,0,0
北京国奥中恒房地产经纪有限公司,京经纪(2023)第10919号,0,2,0,0
北京安业居房地产经纪有限公司,京经纪(2023)第10920号,0,1,0,0
北京太阳海房地产经纪有限公司,京经纪(2023)第10925号,0,2,0,0
北京团房网房地产经纪有限公司,京经纪(2023)第10926号,0,1,0,0
北京鼎盛世嘉房地产经纪有限公司,京经纪(2023)第10927号,0,1,0,0
北京同城置地房地产经纪有限公司,京经纪(2023)第10928号,0,0,0,0
北京华晟房地产经纪有限公司,京经纪(2023)第10931号,0,1,0,0
北京森垒房地产信息咨询有限公司,京经纪(2023)第10930号,0,1,0,0
北京润聚物业管理有限公司,京经纪(2023)第10933号,0,2,0,0
北京合策房地产经纪有限公司,京经纪(2023)第10935号,0,2,0,0
北京华夏安居房地产经纪有限公司,京经纪(2023)第10936号,0,1,0,0
北京安家丽业房地产经纪有限公司,京经纪(2023)第10937号,0,1,0,0
北京创想一加一房地产经纪有限公司,京经纪(2023)第10938号,0,1,0,0
北京永城三众房地产经纪有限公司,京经纪(2023)第10939号,0,1,0,0
北京铭洋房地产经纪有限公司,京经纪(2023)第10940号,0,1,0,0
北京中盛房泰房地产经纪有限责任公司,京经纪(2023)第10941号,0,1,0,0
北京万亚昌盛房地产咨询有限公司,京经纪(2023)第10942号,0,1,0,0
北京众程房地产经纪有限公司,京经纪(2023)第10943号,0,1,0,0
北京百尺房地产经纪有限公司,京经纪(2023)第10947号,0,1,0,0
北京京鼎诚房地产经纪有限公司,京经纪(2023)第10949号,0,2,0,0
北京华远联行房地产经纪有限公司,京经纪(2023)第10948号,0,2,0,0
北京永乐嘉佳房地产经纪有限公司,京经纪(2023)第10950号,0,2,0,0
北京轩和房地产信息咨询有限公司,京经纪(2023)第10952号,0,2,0,0
北京中海中城房地产经纪有限公司,京经纪(2023)第10951号,0,2,0,0
北京呦房房地产经纪有限公司,京经纪(2023)第10959号,0,1,0,0
北京房顿顿房地产经纪有限公司,京经纪(2023)第10960号,0,1,0,0
北京静臣欣房地产经纪有限公司,京经纪(2023)第10962号,0,2,0,0
北京睿驰置地房地产经纪有限公司,京经纪(2023)第10963号,0,2,0,0
明月房地产经纪（北京）有限公司,京经纪(2023)第10964号,0,2,0,0
北京城百家房地产顾问有限公司,京经纪(2023)第10965号,0,0,0,0
瀚海法拍（北京）房地产经纪有限公司,京经纪(2023)第10968号,0,2,0,0
北京爱住家房地产经纪有限公司,京经纪(2023)第10967号,0,2,0,0
北京睿鑫房地产经纪有限公司,京经纪(2023)第10969号,0,2,0,0
北京葆顾房地产经纪有限公司,京经纪(2023)第10971号,0,2,0,0
北京佳赫房地产经纪有限公司,京经纪(2023)第10970号,0,2,0,0
北京嘉城万家房地产经纪有限公司,京经纪(2023)第10972号,0,2,0,0
北京中京房地产经纪有限公司,京经纪(2023)第10973号,0,2,0,0
北京昆伦天下商贸有限公司,京经纪(2023)第10978号,0,0,0,0
北京中易恒通房产经纪有限公司,京经纪(2023)第10981号,0,1,0,0
北京鑫鼎石房地产经纪有限公司,京经纪(2023)第10982号,0,1,0,0
