序号,企业名称
1,北京燕侨优居房产经纪有限公司
2,北京爱美屋房地产经纪有限公司
3,北京些些悟文化有限公司
4,北京友功置业房地产经纪有限公司
5,北京明鑫好屋科技有限公司
6,北京番薯文化发展有限公司
7,东郎（北京）商业管理有限公司
8,微点（北京）物业管理有限公司
9,北京京镕树咨询有限公司
10,御城华宇（北京）房地产经纪有限公司
11,新房甄选（北京）科技有限公司
12,北京万城黄埔房地产经纪有限公司
13,北京市华域嘉宸房地产经纪有限公司
14,北京融实房地产经纪有限公司
15,北京中源联行房地产经纪有限公司
16,北京国兴亿能科技有限公司
17,北京全城房地产经纪有限公司
18,北京富甲房地产经纪有限公司
19,北京越邦房地产经纪有限公司
20,优圣嵘源（北京）房地产经纪有限责任公司
21,北京买个房房地产经纪有限公司
22,北京祥和家业房地产经纪有限公司
23,北京鸿正房地产经纪有限公司
24,北京墨焌房地产经纪有限公司
25,北京阿伦房地产经纪有限公司
26,领航企服（北京）房地产经纪有限公司
27,北京旭合房地产经纪有限公司
28,北京亿金恒房地产经纪有限公司
29,北京合硕同源房地产经纪有限公司
30,北京千屹房地产经纪有限公司
31,北京侨远房地产经纪有限公司
32,北京德旭房地产经纪有限公司
33,北京北创优居房地产经纪有限公司
34,北京荣成嘉业房地产经纪有限公司
35,北京奥斯摩尔房地产经纪有限公司
36,北京鑫征城房地产经纪有限公司
37,回形纹（北京）科技有限公司
38,北京一方一业房地产经纪有限公司
39,北京夏日云林科技有限公司
40,北京家客隆创展房地产经纪有限公司
41,北京亿方兴隆房地产经纪有限公司
42,北京祥瑞万家房地产经纪有限公司
43,北京腾程伟业房地产经纪有限公司
44,北京德天恒远房地产经纪有限公司
45,北京惠兰辰星房地产经纪有限公司
46,北京众航房地产经纪有限公司
47,北京田园友嘉房地产经纪有限公司
48,北京合润房地产经纪有限公司
49,北京嘉城万家房地产经纪有限公司
50,北京葆顾房地产经纪有限公司
51,北京佳赫房地产经纪有限公司
52,北京轩和房地产信息咨询有限公司
53,北京华远联行房地产经纪有限公司
54,北京云朵之上房地产经纪有限公司
55,北京家和居房地产经纪有限公司
56,北京承家房地产经纪有限公司
57,北京融居房地产经纪有限公司
58,北京诚正房地产经纪有限公司
59,北京乐寓数字科技有限公司
60,北京博行远航房地产经纪有限公司
61,北京蜜蜂居房地产经纪有限公司
62,北京广成伟业房地产经纪有限公司
63,北京久居置家房地产经纪有限公司
64,北京华城天下投资管理有限公司
65,北京安居智选房地产经纪有限公司
66,北京瑞麦远航房地产经纪有限公司
67,北京耀阳房地产经纪有限公司
68,北京花田融创房地产经纪有限公司
69,北京中安基房地产经纪有限公司
70,北京百年腾鸿房地产经纪有限公司
71,东恒嘉业（北京）房地产经纪有限公司
72,北京家丰房地产经纪有限公司
73,北京佳苑房地产经纪有限公司
74,北京蚂蚁筑家房地产经纪有限公司
75,北京轩语房地产经纪有限公司
76,北京泰乾天德房地产经纪有限公司
77,北京房帮帮房地产经纪有限公司
78,北京畅达行房地产顾问有限公司
79,北京美宜佳房地产经纪有限公司
80,北京京蔚房地产经纪有限公司
81,北京翰华伟业房地产经纪有限公司
82,北京同城友家房地产经纪有限公司
83,北京大橙房地产经纪有限公司
84,北京中海世家房地产经纪有限公司
85,北京上佳房地产经纪有限公司
86,北京易胜房地产经纪有限公司
87,北京优居优住科技有限公司
88,北京信安房地产经纪有限公司
89,北京鑫有嘉房地产经纪有限公司
90,北京京联致鼎房地产经纪有限公司
91,北京易居佳业房地产经纪有限公司
92,德翰融合（北京）房地产经纪有限公司
93,北京阔峰房地产经纪有限公司
94,北京富丽运河房地产经纪有限公司
95,北京明兴房地产经纪有限公司
96,中合联行（北京）房地产经纪有限公司
97,北京梦家房地产经纪有限公司
98,北京壹邦房地产经纪有限公司
99,北京中兴金源房地产经纪有限公司
100,北京和家久居房产经纪有限公司
101,北京火球房地产经纪有限公司
102,北京颐家房地产经纪有限公司
103,北京天弘嘉润房地产经纪有限公司
104,北京德万嘉房地产经纪有限公司
105,北京金佳互联科技有限公司
106,北京顺和安业房地产经纪有限公司
107,北京鸿基联行房地产经纪有限公司
108,北京欧麦地产经纪有限公司
109,北京安信厚德资产管理有限公司
110,北京泓达房地产经纪有限公司
111,北京晟铭阁房地产经纪有限公司
112,北京密码行房地产经纪有限公司
113,北京东亚时代物业管理有限公司
114,北京鑫润房地产经纪有限公司
115,北京万意房地产经纪有限公司
116,北京兆兴同兴房地产经纪有限公司
117,北京联丰嘉业房地产咨询有限公司
118,远杨嘉业（北京）房地产经纪有限公司
119,北京信德威房地产经纪有限公司
120,北京仟亿嘉房地产经纪有限公司
121,北京智宇房地产经纪有限公司
122,北京潞通乐居房地产经纪有限公司
123,北京世纪安家房地产经纪有限公司
124,北京首善房地产经纪有限公司
125,北京加华恒业房地产经纪有限公司
126,北京澳达伟展房地产经纪有限公司
127,北京胜馨家园房地产经纪有限公司
128,北京国瑞嘉业房地产经纪有限公司
129,北京泽通浩业房地产经纪有限公司
130,北京幸福置家房地产经纪有限公司
131,晟嘉行房地产经纪（北京）有限公司
132,北京新贰壹世纪房地产经纪有限公司
133,北京福泽万家房地产经纪有限公司
134,北京宝亨房地产经纪有限公司
135,北京好家好房网络科技有限公司
136,北京中驰伟业房地产经纪有限公司
137,北京市吉祥诚信房地产经纪有限公司
138,北京博思源房地产咨询有限公司
139,北京天赐佳业房地产经纪有限公司
140,北京市博友园房地产经纪中心
141,北京天兴苑房地产经纪有限公司
142,北京金地房地产经纪有限公司
143,北京广汇房地产经纪有限公司
144,北京金地房地产土地评估有限公司
145,北京吉宇房地产经纪有限公司
146,北京振兰房地产经纪有限公司
147,北京凤凰鑫业房地产经纪有限公司
148,北京世纪双赢房地产经纪有限公司
149,北京市嘉年德宝房地产经纪有限公司
150,北京嘉泰龙房地产经纪有限公司
